Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1,velocity_0,velocity_1
87.015,8683,87,15000000,,"['joint1', 'joint2']",0.32231088287239107,-0.17966254320625286,0.09165716970604197,0.025980161650886638
87.026,8684,87,25000000,,"['joint1', 'joint2']",0.32320529469476256,-0.17940810889414305,0.08761094364870267,0.024992929961703977
87.036,8685,87,35000000,,"['joint1', 'joint2']",0.3240586443487308,-0.17916392584997798,0.08345807743593195,0.023938926721420117
87.046,8686,87,46000000,,"['joint1', 'joint2']",0.3269590091486858,-0.18479450809739006,0.37924906222784865,-0.7852809959728229
87.056,8687,87,56000000,,"['joint1', 'joint2']",0.32925628258862716,-0.1880766383618937,0.16034403863975005,-0.11792197897101928
87.066,8688,87,65000000,,"['joint1', 'joint2']",0.33057559167088346,-0.18843048050864386,0.11818548630338817,0.0026636975625569242
87.076,8689,87,75000000,,"['joint1', 'joint2']",0.331691067258979,-0.18825567509736274,0.10782518774203123,0.02420906979590584
87.086,8690,87,85000000,,"['joint1', 'joint2']",0.33274177238688996,-0.1879894788166574,0.10310558080683431,0.027594163481147682
87.096,8691,87,95000000,,"['joint1', 'joint2']",0.33375155440072835,-0.1877125301780982,0.0992697825692459,0.027583434761952574
87.106,8692,87,105000000,,"['joint1', 'joint2']",0.33472339289187136,-0.18744030970284342,0.09546475408989465,0.026880528252537644
87.116,8693,87,115000000,,"['joint1', 'joint2']",0.335656612311646,-0.1871763240985027,0.09155033798798312,0.02598660322987914
87.126,8694,87,125000000,,"['joint1', 'joint2']",0.3365500208426342,-0.18692181814081277,0.08751588300733121,0.02500063171099466
87.136,8695,87,135000000,,"['joint1', 'joint2']",0.3374024823273878,-0.1866775516411554,0.08337430776291717,0.023947776525306483
87.146,8696,87,145000000,,"['joint1', 'joint2']",0.3402973386619834,-0.19229418871677684,0.3789426670061806,-0.7846209055504038
87.157,8697,87,155000000,,"['joint1', 'joint2']",0.34259640972085936,-0.1955837024896967,0.16057554911514335,-0.11877070237484008
87.166,8698,87,165000000,,"['joint1', 'joint2']",0.3439171497462885,-0.1959429801955297,0.11825906636027843,0.0023537193440717197
87.176,8699,87,175000000,,"['joint1', 'joint2']",0.3450328904196063,-0.19576962940553688,0.10782604784298135,0.024155894130457836
